date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:49:27	120/120	---MC-	200	added ('OK')	text/plain	date:Sun,%2026%20Apr%202026%2011:49:27%20GMT	https://www.sanco-group.com/robots.txt		(from )
14:49:27	57248/57248	---MC-	200	added ('OK')	text/html	date:Sun,%2026%20Apr%202026%2011:49:27%20GMT	https://www.sanco-group.com/	C:/Users/AHC/Desktop/samco/www.sanco-group.com/index.html	(from )
14:49:28	2070/2070	---MC-	200	added ('OK')	application/json	date:Sun,%2026%20Apr%202026%2011:49:28%20GMT	https://www.sanco-group.com/index.php/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.sanco-group.com%2F	C:/Users/AHC/Desktop/samco/www.sanco-group.com/index.php/wp-json/oembed/1.0/embed2e04.json	(from https://www.sanco-group.com/)
14:49:28	1072/1072	---MC-	200	added ('OK')	application/rss+xml	etag:%22ea9d62163c7dcb02986d4d6fd2b3bd7a%22	https://www.sanco-group.com/index.php/feed/	C:/Users/AHC/Desktop/samco/www.sanco-group.com/index.php/feed/index.html	(from https://www.sanco-group.com/)
14:49:29	721/721	---MC-	200	added ('OK')	application/rss+xml	etag:%22ea9d62163c7dcb02986d4d6fd2b3bd7a%22	https://www.sanco-group.com/index.php/comments/feed/	C:/Users/AHC/Desktop/samco/www.sanco-group.com/index.php/comments/feed/index.html	(from https://www.sanco-group.com/)
14:49:29	2192/2192	---MC-	200	added ('OK')	text/xml	date:Sun,%2026%20Apr%202026%2011:49:29%20GMT	https://www.sanco-group.com/index.php/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.sanco-group.com%2F&format=xml	C:/Users/AHC/Desktop/samco/www.sanco-group.com/index.php/wp-json/oembed/1.0/embed3cd8	(from https://www.sanco-group.com/)
14:49:29	4349/4349	---M--	200	added ('OK')	text/css	date:Wed,%2010%20Dec%202025%2009:39:03%20GMT	https://www.sanco-group.com/wp-content/plugins/contact-form-7-image-captcha/css/cf7ic-style.css?ver=3.3.7	C:/Users/AHC/Desktop/samco/www.sanco-group.com/wp-content/plugins/contact-form-7-image-captcha/css/cf7ic-style7433.css	(from https://www.sanco-group.com/)
14:49:30	2947/2947	---M--	200	added ('OK')	text/css	date:Sun,%2008%20Feb%202026%2009:39:08%20GMT	https://www.sanco-group.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=6.1.5	C:/Users/AHC/Desktop/samco/www.sanco-group.com/wp-content/plugins/contact-form-7/includes/css/stylesb5e1.css	(from https://www.sanco-group.com/)
14:49:30	31000/31000	---M--	200	added ('OK')	text/css	date:Thu,%2026%20Sep%202024%2015:50:37%20GMT	https://www.sanco-group.com/wp-content/themes/education-mind/vendors/font-awesome/css/font-awesome.min.css?ver=4.7.0	C:/Users/AHC/Desktop/samco/www.sanco-group.com/wp-content/themes/education-mind/vendors/font-awesome/css/font-awesome.min1849.css	(from https://www.sanco-group.com/)
14:49:30	3469/3469	---M--	200	added ('OK')	text/css	date:Thu,%2026%20Sep%202024%2015:50:37%20GMT	https://www.sanco-group.com/wp-content/themes/education-mind/vendors/sidr/css/jquery.sidr.dark.min.css?ver=2.2.1	C:/Users/AHC/Desktop/samco/www.sanco-group.com/wp-content/themes/education-mind/vendors/sidr/css/jquery.sidr.dark.min77e6.css	(from https://www.sanco-group.com/)
14:49:30	126698/126698	---M--	200	added ('OK')	text/css	date:Thu,%2026%20Sep%202024%2015:50:37%20GMT	https://www.sanco-group.com/wp-content/themes/education-mind/style.css?ver=2.0.2	C:/Users/AHC/Desktop/samco/www.sanco-group.com/wp-content/themes/education-mind/style4c56.css	(from https://www.sanco-group.com/)
14:49:31	22276/22276	---M--	200	added ('OK')	text/css	date:Tue,%2025%20Feb%202025%2006:36:32%20GMT	https://www.sanco-group.com/wp-content/plugins/nextend-smart-slider3-pro/Public/SmartSlider3/Application/Frontend/Assets/dist/smartslider.min.css?ver=7a86b806	C:/Users/AHC/Desktop/samco/www.sanco-group.com/wp-content/plugins/nextend-smart-slider3-pro/Public/SmartSlider3/Application/Frontend/Assets/dist/smartslider.minbb71.css	(from https://www.sanco-group.com/)
14:49:31	91697/91697	---M--	200	added ('OK')	text/javascript	date:Tue,%2025%20Feb%202025%2006:36:32%20GMT	https://www.sanco-group.com/wp-content/plugins/nextend-smart-slider3-pro/Public/SmartSlider3/Application/Frontend/Assets/dist/n2.min.js?ver=7a86b806	C:/Users/AHC/Desktop/samco/www.sanco-group.com/wp-content/plugins/nextend-smart-slider3-pro/Public/SmartSlider3/Application/Frontend/Assets/dist/n2.minbb71.js	(from https://www.sanco-group.com/)
14:49:31	13911/13911	---M--	200	added ('OK')	text/javascript	date:Tue,%2025%20Feb%202025%2006:36:32%20GMT	https://www.sanco-group.com/wp-content/plugins/nextend-smart-slider3-pro/Public/SmartSlider3/Slider/SliderType/Simple/Assets/dist/ss-simple.min.js?ver=7a86b806	C:/Users/AHC/Desktop/samco/www.sanco-group.com/wp-content/plugins/nextend-smart-slider3-pro/Public/SmartSlider3/Slider/SliderType/Simple/Assets/dist/ss-simple.minbb71.js	(from https://www.sanco-group.com/)
14:49:31	485496/485496	---M--	200	added ('OK')	text/css	date:Tue,%2018%20Feb%202025%2015:06:26%20GMT	https://www.sanco-group.com/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=6.7.0	C:/Users/AHC/Desktop/samco/www.sanco-group.com/wp-content/plugins/js_composer/assets/css/js_composer.minbdeb.css	(from https://www.sanco-group.com/)
14:49:31	1454/1454	---M--	200	added ('OK')	text/javascript	date:Tue,%2025%20Feb%202025%2006:36:32%20GMT	https://www.sanco-group.com/wp-content/plugins/nextend-smart-slider3-pro/Public/SmartSlider3/Widget/Arrow/ArrowImage/Assets/dist/w-arrow-image.min.js?ver=7a86b806	C:/Users/AHC/Desktop/samco/www.sanco-group.com/wp-content/plugins/nextend-smart-slider3-pro/Public/SmartSlider3/Widget/Arrow/ArrowImage/Assets/dist/w-arrow-image.minbb71.js	(from https://www.sanco-group.com/)
14:49:32	220588/220588	---M--	200	added ('OK')	text/javascript	date:Tue,%2025%20Feb%202025%2006:36:32%20GMT	https://www.sanco-group.com/wp-content/plugins/nextend-smart-slider3-pro/Public/SmartSlider3/Application/Frontend/Assets/dist/smartslider-frontend.min.js?ver=7a86b806	C:/Users/AHC/Desktop/samco/www.sanco-group.com/wp-content/plugins/nextend-smart-slider3-pro/Public/SmartSlider3/Application/Frontend/Assets/dist/smartslider-frontend.minbb71.js	(from https://www.sanco-group.com/)
14:49:32	87553/87553	---M--	200	added ('OK')	text/javascript	date:Thu,%2029%20Aug%202024%2021:38:17%20GMT	https://www.sanco-group.com/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	C:/Users/AHC/Desktop/samco/www.sanco-group.com/wp-includes/js/jquery/jquery.minf43b.js	(from https://www.sanco-group.com/)
14:49:32	13577/13577	---M--	200	added ('OK')	text/javascript	date:Thu,%2029%20Aug%202024%2021:38:17%20GMT	https://www.sanco-group.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	C:/Users/AHC/Desktop/samco/www.sanco-group.com/wp-includes/js/jquery/jquery-migrate.min5589.js	(from https://www.sanco-group.com/)
14:49:32	2075/2075	---M--	200	added ('OK')	text/javascript	date:Wed,%2011%20Mar%202026%2009:37:41%20GMT	https://www.sanco-group.com/wp-content/plugins/interactive-3d-flipbook-powered-physics-engine/assets/js/client-locale-loader.js?ver=1.16.19	C:/Users/AHC/Desktop/samco/www.sanco-group.com/wp-content/plugins/interactive-3d-flipbook-powered-physics-engine/assets/js/client-locale-loader78bf.js	(from https://www.sanco-group.com/)
14:49:33	2002/2002	---MC-	200	added ('OK')	application/json	date:Sun,%2026%20Apr%202026%2011:49:33%20GMT	https://www.sanco-group.com/index.php/wp-json/wp/v2/pages/262	C:/Users/AHC/Desktop/samco/www.sanco-group.com/index.php/wp-json/wp/v2/pages/262.json	(from https://www.sanco-group.com/)
14:49:33	199340/199340	---MC-	200	added ('OK')	application/json	date:Sun,%2026%20Apr%202026%2011:49:33%20GMT	https://www.sanco-group.com/index.php/wp-json/	C:/Users/AHC/Desktop/samco/www.sanco-group.com/index.php/wp-json/index.html	(from https://www.sanco-group.com/)
14:49:33	838/838	---MC-	200	added ('OK')	text/xml	date:Sun,%2026%20Apr%202026%2011:49:33%20GMT	https://www.sanco-group.com/xmlrpc.php?rsd	C:/Users/AHC/Desktop/samco/www.sanco-group.com/xmlrpc0db0.php	(from https://www.sanco-group.com/)
14:49:34	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2026%20Apr%202026%2011:49:34%20GMT	https://sanco-group.com/wp-content/uploads/2019/10/pattern7.png	C:/Users/AHC/Desktop/samco/sanco-group.com/wp-content/uploads/2019/10/pattern7.12.delayed	(from https://www.sanco-group.com/)
14:49:35	41038/41038	---MC-	404	error ('Not%20Found')	text/html	date:Sun,%2026%20Apr%202026%2011:49:35%20GMT	https://www.sanco-group.com/wp-content/uploads/2019/10/pattern7.png	C:/Users/AHC/Desktop/samco/www.sanco-group.com/wp-content/uploads/2019/10/pattern7.png	(from https://www.sanco-group.com/)
14:49:35	5478/5478	---M--	200	added ('OK')	image/jpeg	date:Sun,%2002%20Mar%202025%2009:59:47%20GMT	https://www.sanco-group.com/wp-content/uploads/2025/02/40136210_2227963027246229_1263768262554943488_n-150x150.jpg	C:/Users/AHC/Desktop/samco/www.sanco-group.com/wp-content/uploads/2025/02/40136210_2227963027246229_1263768262554943488_n-150x150.jpg	(from https://www.sanco-group.com/)
14:49:35	11291/11291	---M--	200	added ('OK')	image/jpeg	date:Sun,%2002%20Mar%202025%2009:59:46%20GMT	https://www.sanco-group.com/wp-content/uploads/2025/02/40136210_2227963027246229_1263768262554943488_n-270x270.jpg	C:/Users/AHC/Desktop/samco/www.sanco-group.com/wp-content/uploads/2025/02/40136210_2227963027246229_1263768262554943488_n-270x270.jpg	(from https://www.sanco-group.com/)
14:49:36	9596/9596	---M--	200	added ('OK')	image/jpeg	date:Sun,%2002%20Mar%202025%2009:59:47%20GMT	https://www.sanco-group.com/wp-content/uploads/2025/02/cropped-logo-1-1.jpg	C:/Users/AHC/Desktop/samco/www.sanco-group.com/wp-content/uploads/2025/02/cropped-logo-1-1.jpg	(from https://www.sanco-group.com/)
14:49:41	42911/42911	---MC-	200	added ('OK')	text/html	date:Sun,%2026%20Apr%202026%2011:49:36%20GMT	https://www.sanco-group.com/index.php/our-company/	C:/Users/AHC/Desktop/samco/www.sanco-group.com/index.php/our-company/index.html	(from https://www.sanco-group.com/)
14:49:42	45395/45395	---MC-	200	added ('OK')	text/html	date:Sun,%2026%20Apr%202026%2011:49:36%20GMT	https://www.sanco-group.com/index.php/our-company/introduction/	C:/Users/AHC/Desktop/samco/www.sanco-group.com/index.php/our-company/introduction/index.html	(from https://www.sanco-group.com/)
14:49:42	48292/48292	---MC-	200	added ('OK')	text/html	date:Sun,%2026%20Apr%202026%2011:49:37%20GMT	https://www.sanco-group.com/index.php/our-company/gm-message/	C:/Users/AHC/Desktop/samco/www.sanco-group.com/index.php/our-company/gm-message/index.html	(from https://www.sanco-group.com/)
14:49:46	43914/43914	---MC-	200	added ('OK')	text/html	date:Sun,%2026%20Apr%202026%2011:49:43%20GMT	https://www.sanco-group.com/index.php/our-company/our-vision-mission/	C:/Users/AHC/Desktop/samco/www.sanco-group.com/index.php/our-company/our-vision-mission/index.html	(from https://www.sanco-group.com/)
